DeviceTag: Xsens DOT5D,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 17:06:50.309,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5230087,-0.2169,4.7554,-61.1399,-0.0600,0.0847,0.0712,0
5230254,-0.2147,4.7467,-61.1380,-0.0667,0.1114,0.0660,0
5230420,-0.2137,4.7390,-61.1252,-0.0871,0.0919,0.0422,0
5230587,-0.2130,4.7298,-61.1162,-0.0867,0.0675,0.0526,0
5230754,-0.2124,4.7218,-61.1192,-0.0671,0.0704,0.0406,0
5230920,-0.2131,4.7146,-61.1158,-0.0640,0.0958,0.0526,0
5231087,-0.2127,4.7066,-61.1000,-0.0655,0.1345,0.0569,0
5231254,-0.2109,4.6960,-61.0993,-0.0582,0.0976,0.0484,0
5231420,-0.2094,4.6887,-61.0894,-0.0731,0.0865,0.0530,0
5231587,-0.2089,4.6824,-61.0840,-0.0803,0.0818,0.0503,0
5231754,-0.2061,4.6746,-61.0780,-0.0915,0.1232,0.0640,0
5231920,-0.2050,4.6669,-61.0685,-0.0856,0.1335,0.0516,0
5232087,-0.2049,4.6603,-61.0623,-0.0711,0.1125,0.0687,0
5232254,-0.2039,4.6526,-61.0557,-0.0661,0.1085,0.0558,0
5232420,-0.2026,4.6454,-61.0473,-0.0627,0.0866,0.0495,0
5232587,-0.2012,4.6379,-61.0458,-0.0850,0.1026,0.0586,0
5232754,-0.2002,4.6319,-61.0385,-0.0929,0.1199,0.0517,0
5232920,-0.1974,4.6240,-61.0317,-0.0967,0.1559,0.0534,0
5233087,-0.1953,4.6161,-61.0200,-0.0789,0.1217,0.0575,0
5233254,-0.1944,4.6082,-61.0176,-0.0894,0.1221,0.0645,0
5233420,-0.1921,4.6003,-61.0132,-0.0885,0.1039,0.0476,0
5233587,-0.1899,4.5920,-61.0067,-0.0793,0.1128,0.0357,0
5233754,-0.1894,4.5841,-60.9980,-0.0779,0.1062,0.0544,0
5233920,-0.1883,4.5755,-60.9819,-0.0876,0.1215,0.0507,0
5234087,-0.1872,4.5702,-60.9721,-0.0908,0.1011,0.0367,0
5234254,-0.1872,4.5651,-60.9655,-0.0682,0.1041,0.0612,0
5234420,-0.1859,4.5595,-60.9577,-0.0870,0.1291,0.0354,0
5234587,-0.1849,4.5548,-60.9518,-0.0821,0.1192,0.0582,0
5234754,-0.1836,4.5470,-60.9452,-0.0830,0.0975,0.0536,0
5234920,-0.1830,4.5417,-60.9432,-0.0719,0.0627,0.0702,0
5235087,-0.1819,4.5383,-60.9371,-0.0933,0.0695,0.0468,0
5235254,-0.1811,4.5378,-60.9348,-0.1152,0.1116,0.0435,0
5235421,-0.1806,4.5369,-60.9317,-0.1356,0.1586,0.0659,0
5235587,-0.1796,4.5306,-60.9216,-0.1099,0.1583,0.0417,0
5235754,-0.1799,4.5262,-60.9134,-0.0713,0.1111,0.0644,0
5235921,-0.1789,4.5194,-60.9053,-0.0690,0.0846,0.0728,0
5236087,-0.1781,4.5181,-60.8962,-0.0791,0.1346,0.0245,0
5236254,-0.1773,4.5131,-60.8907,-0.0803,0.1521,0.0864,0
5236421,-0.1763,4.5073,-60.8836,-0.1089,0.1780,0.0392,0
5236587,-0.1751,4.5027,-60.8758,-0.0806,0.0797,0.0718,0
5236754,-0.1738,4.4965,-60.8679,-0.1019,0.0877,0.0409,0
5236921,-0.1728,4.4935,-60.8570,-0.1109,0.1276,0.0649,0
5237087,-0.1721,4.4886,-60.8541,-0.1240,0.1887,0.0514,0
5237254,-0.1715,4.4845,-60.8481,-0.0965,0.1474,0.0666,0
5237421,-0.1705,4.4802,-60.8426,-0.0853,0.1010,0.0662,0
5237587,-0.1674,4.4764,-60.8371,-0.0866,0.0936,0.0488,0
5237754,-0.1674,4.4732,-60.8324,-0.1091,0.1096,0.0576,0
5237921,-0.1656,4.4709,-60.8265,-0.1214,0.1446,0.0516,0
5238087,-0.1651,4.4674,-60.8192,-0.1122,0.1413,0.0453,0
5238254,-0.1656,4.4638,-60.8149,-0.0894,0.1327,0.0542,0
5238421,-0.1645,4.4606,-60.8077,-0.0810,0.1215,0.0581,0
5238587,-0.1637,4.4574,-60.8057,-0.0875,0.1350,0.0482,0
5238754,-0.1650,4.4545,-60.8009,-0.0995,0.1333,0.0520,0
5238921,-0.1654,4.4508,-60.7863,-0.1145,0.1441,0.0510,0
5239087,-0.1645,4.4492,-60.7780,-0.1131,0.1554,0.0530,0
5239254,-0.1641,4.4455,-60.7712,-0.1091,0.1263,0.0555,0
5239421,-0.1641,4.4442,-60.7659,-0.0947,0.1233,0.0471,0
5239587,-0.1639,4.4432,-60.7623,-0.1003,0.1254,0.0588,0
5239754,-0.1626,4.4404,-60.7562,-0.0982,0.1318,0.0616,0
5239921,-0.1624,4.4373,-60.7488,-0.1040,0.1300,0.0533,0
5240087,-0.1619,4.4354,-60.7345,-0.0969,0.1293,0.0436,0
5240254,-0.1622,4.4331,-60.7275,-0.1014,0.1305,0.0593,0
5240421,-0.1616,4.4313,-60.7174,-0.0876,0.1244,0.0435,0
5240587,-0.1615,4.4288,-60.7105,-0.1071,0.1339,0.0548,0
5240754,-0.1615,4.4281,-60.7008,-0.0981,0.1405,0.0495,0
5240921,-0.1609,4.4251,-60.6944,-0.0964,0.1451,0.0529,0
5241087,-0.1606,4.4237,-60.6910,-0.0947,0.1409,0.0537,0
5241254,-0.1602,4.4217,-60.6875,-0.0986,0.1332,0.0577,0
5241421,-0.1609,4.4212,-60.6863,-0.1098,0.1440,0.0520,0
5241587,-0.1615,4.4199,-60.6839,-0.1208,0.1548,0.0516,0
5241754,-0.1600,4.4181,-60.6793,-0.1004,0.1545,0.0380,0
5241921,-0.1589,4.4164,-60.6686,-0.1026,0.1499,0.0551,0
5242087,-0.1579,4.4152,-60.6631,-0.1000,0.1272,0.0546,0
5242254,-0.1583,4.4142,-60.6568,-0.1102,0.1330,0.0388,0
5242421,-0.1580,4.4131,-60.6511,-0.0981,0.1151,0.0696,0
5242587,-0.1582,4.4111,-60.6471,-0.1011,0.1307,0.0482,0
5242754,-0.1586,4.4119,-60.6427,-0.1004,0.1433,0.0547,0
5242921,-0.1576,4.4125,-60.6452,-0.0900,0.1436,0.0496,0
5243087,-0.1575,4.4116,-60.6390,-0.1012,0.1619,0.0599,0
5243254,-0.1572,4.4120,-60.6302,-0.1098,0.1429,0.0477,0
5243421,-0.1572,4.4105,-60.6236,-0.1166,0.1398,0.0388,0
5243587,-0.1573,4.4094,-60.6153,-0.1196,0.1470,0.0504,0
5243754,-0.1572,4.4068,-60.6100,-0.1107,0.1276,0.0677,0
5243921,-0.1563,4.4064,-60.6057,-0.1158,0.1441,0.0501,0
5244087,-0.1567,4.4036,-60.5974,-0.1237,0.1408,0.0545,0
5244254,-0.1558,4.4022,-60.5892,-0.1226,0.1577,0.0468,0
5244421,-0.1557,4.4019,-60.5854,-0.1209,0.1478,0.0610,0
5244587,-0.1558,4.4014,-60.5810,-0.0959,0.1271,0.0565,0
5244754,-0.1555,4.4025,-60.5709,-0.0917,0.1284,0.0522,0
5244921,-0.1565,4.4030,-60.5561,-0.1121,0.1376,0.0619,0
5245087,-0.1569,4.4042,-60.5503,-0.1280,0.1395,0.0404,0
5245254,-0.1565,4.4047,-60.5452,-0.1165,0.1374,0.0451,0
5245421,-0.1568,4.4059,-60.5384,-0.0986,0.1391,0.0633,0
5245587,-0.1562,4.4067,-60.5317,-0.0900,0.1139,0.0468,0
5245754,-0.1557,4.4077,-60.5255,-0.1071,0.1347,0.0508,0
5245921,-0.1566,4.4085,-60.5162,-0.1126,0.1789,0.0523,0
5246087,-0.1563,4.4092,-60.5112,-0.1072,0.1492,0.0520,0
5246254,-0.1559,4.4095,-60.5039,-0.1115,0.1264,0.0453,0
5246421,-0.1557,4.4119,-60.5001,-0.1050,0.1148,0.0441,0
5246587,-0.1561,4.4128,-60.4940,-0.1179,0.1403,0.0559,0
5246754,-0.1551,4.4123,-60.4895,-0.1157,0.1575,0.0580,0
5246921,-0.1559,4.4146,-60.4803,-0.0935,0.1539,0.0522,0
5247087,-0.1571,4.4153,-60.4737,-0.0991,0.1099,0.0456,0
5247254,-0.1583,4.4162,-60.4682,-0.1066,0.1233,0.0561,0
5247421,-0.1595,4.4182,-60.4601,-0.1184,0.1377,0.0632,0
5247587,-0.1602,4.4215,-60.4536,-0.1175,0.1434,0.0451,0
5247754,-0.1595,4.4233,-60.4465,-0.1009,0.1400,0.0536,0
5247921,-0.1599,4.4258,-60.4374,-0.1009,0.1411,0.0526,0
5248087,-0.1599,4.4283,-60.4323,-0.0947,0.1203,0.0491,0
5248254,-0.1602,4.4309,-60.4290,-0.1182,0.1530,0.0516,0
5248421,-0.1616,4.4339,-60.4272,-0.0970,0.1381,0.0614,0
5248587,-0.1620,4.4371,-60.4204,-0.1161,0.1331,0.0521,0
5248754,-0.1621,4.4379,-60.4107,-0.1163,0.1191,0.0524,0
5248921,-0.1617,4.4392,-60.4031,-0.1080,0.1459,0.0466,0
5249087,-0.1614,4.4403,-60.3918,-0.1148,0.1521,0.0567,0
5249254,-0.1618,4.4428,-60.3852,-0.1111,0.1328,0.0548,0
5249421,-0.1609,4.4451,-60.3797,-0.0956,0.1145,0.0546,0
5249587,-0.1603,4.4491,-60.3733,-0.0942,0.1168,0.0684,0
5249754,-0.1608,4.4526,-60.3649,-0.1055,0.1279,0.0425,0
5249921,-0.1616,4.4557,-60.3587,-0.1064,0.1549,0.0651,0
5250087,-0.1632,4.4579,-60.3526,-0.1125,0.1476,0.0606,0
5250254,-0.1631,4.4612,-60.3473,-0.1153,0.1127,0.0430,0
5250421,-0.1633,4.4661,-60.3491,-0.0934,0.1284,0.0523,0
5250587,-0.1629,4.4690,-60.3433,-0.0954,0.1594,0.0719,0
5250754,-0.1647,4.4708,-60.3345,-0.1037,0.1569,0.0611,0
5250921,-0.1636,4.4732,-60.3310,-0.1085,0.1166,0.0558,0
5251087,-0.1626,4.4765,-60.3258,-0.0929,0.1019,0.0562,0
5251254,-0.1617,4.4801,-60.3244,-0.0980,0.1256,0.0632,0
5251421,-0.1624,4.4822,-60.3237,-0.1129,0.1486,0.0380,0
5251587,-0.1628,4.4842,-60.3225,-0.0962,0.1406,0.0554,0
5251754,-0.1622,4.4848,-60.3213,-0.0960,0.1155,0.0522,0
5251921,-0.1617,4.4876,-60.3147,-0.0888,0.1069,0.0436,0
5252088,-0.1614,4.4912,-60.3080,-0.1088,0.1215,0.0458,0
5252254,-0.1608,4.4950,-60.3010,-0.1032,0.1299,0.0629,0
5252421,-0.1617,4.4990,-60.2916,-0.0943,0.1354,0.0517,0
5252588,-0.1618,4.5020,-60.2844,-0.0996,0.1400,0.0553,0
5252754,-0.1618,4.5047,-60.2824,-0.1139,0.1287,0.0671,0
5252921,-0.1618,4.5075,-60.2824,-0.0986,0.1334,0.0594,0
5253088,-0.1621,4.5096,-60.2730,-0.0958,0.1055,0.0469,0
5253254,-0.1624,4.5120,-60.2689,-0.0950,0.1125,0.0392,0
5253421,-0.1627,4.5154,-60.2634,-0.0883,0.1132,0.0765,0
5253588,-0.1638,4.5201,-60.2597,-0.0929,0.1368,0.0413,0
5253754,-0.1643,4.5244,-60.2519,-0.1001,0.1421,0.0409,0
5253921,-0.1640,4.5286,-60.2458,-0.0956,0.1178,0.0497,0
5254088,-0.1641,4.5328,-60.2418,-0.1052,0.1257,0.0627,0
5254254,-0.1654,4.5365,-60.2375,-0.1046,0.1014,0.0548,0
5254421,-0.1656,4.5402,-60.2362,-0.0919,0.1095,0.0462,0
