DeviceTag: Xsens DOT6E,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-12 13:10:39.562,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
36962401,0.4449,-0.0148,-0.0172,-0.8953,0.0032,0.0164,0.0792,0
36962734,0.4448,-0.0148,-0.0172,-0.8953,-0.0158,0.0049,0.0899,0
36963067,0.4448,-0.0148,-0.0172,-0.8953,0.0004,-0.0004,0.0793,0
36963401,0.4448,-0.0148,-0.0172,-0.8953,0.0022,0.0066,0.0907,0
36963734,0.4448,-0.0148,-0.0172,-0.8953,0.0072,0.0005,0.0765,0
36964067,0.4448,-0.0148,-0.0172,-0.8953,-0.0038,-0.0012,0.0942,0
36964401,0.4448,-0.0148,-0.0172,-0.8953,-0.0132,-0.0001,0.0689,0
36964734,0.4448,-0.0148,-0.0172,-0.8954,-0.0201,-0.0042,0.0873,0
36965068,0.4448,-0.0148,-0.0172,-0.8954,-0.0028,-0.0064,0.0804,0
36965401,0.4448,-0.0148,-0.0172,-0.8954,-0.0012,0.0062,0.0793,0
36965734,0.4448,-0.0148,-0.0172,-0.8954,-0.0093,-0.0087,0.0761,0
36966068,0.4447,-0.0148,-0.0172,-0.8954,-0.0034,0.0117,0.0945,0
36966401,0.4447,-0.0148,-0.0172,-0.8954,0.0089,0.0018,0.0832,0
36966734,0.4447,-0.0148,-0.0172,-0.8954,-0.0070,-0.0046,0.0855,0
36967068,0.4447,-0.0148,-0.0171,-0.8954,-0.0041,0.0032,0.0837,0
36967401,0.4447,-0.0148,-0.0171,-0.8954,0.0013,-0.0040,0.0872,0
36967734,0.4447,-0.0148,-0.0171,-0.8954,0.0071,-0.0012,0.0877,0
36968068,0.4447,-0.0148,-0.0171,-0.8954,-0.0159,0.0122,0.0820,0
36968401,0.4447,-0.0148,-0.0171,-0.8954,-0.0024,0.0028,0.0765,0
36968734,0.4446,-0.0148,-0.0171,-0.8954,-0.0055,-0.0064,0.0928,0
36969068,0.4446,-0.0148,-0.0171,-0.8954,-0.0033,-0.0166,0.0824,0
36969401,0.4446,-0.0148,-0.0171,-0.8954,-0.0136,0.0102,0.0884,0
36969734,0.4446,-0.0148,-0.0171,-0.8954,-0.0117,0.0152,0.0895,0
36970068,0.4446,-0.0148,-0.0171,-0.8954,-0.0208,-0.0031,0.0897,0
36970401,0.4446,-0.0148,-0.0171,-0.8954,0.0199,-0.0111,0.0798,0
36970734,0.4446,-0.0148,-0.0171,-0.8954,0.0041,0.0119,0.0871,0
36971068
36971401
