DeviceTag: Xsens DOT6E,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-12 13:10:39.562,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
36889399,0.4429,-0.0160,-0.0245,-0.8961,-0.0344,0.1342,0.0830,0
36889733,0.4429,-0.0160,-0.0245,-0.8961,-0.0400,0.1172,0.0794,0
36890066,0.4431,-0.0160,-0.0246,-0.8960,-0.0611,0.1508,0.0772,0
36890399,0.4430,-0.0160,-0.0246,-0.8960,-0.0520,0.1547,0.0771,0
36890733,0.4431,-0.0160,-0.0246,-0.8960,-0.0540,0.1368,0.0708,0
36891066,0.4432,-0.0160,-0.0247,-0.8959,-0.0425,0.1457,0.0716,0
36891399,0.4432,-0.0160,-0.0247,-0.8960,-0.0401,0.1419,0.0844,0
36891733,0.4432,-0.0160,-0.0247,-0.8959,-0.0517,0.1523,0.0910,0
36892066,0.4432,-0.0160,-0.0247,-0.8959,-0.0572,0.1440,0.0820,0
36892399,0.4432,-0.0160,-0.0247,-0.8959,-0.0428,0.1329,0.0955,0
36892733,0.4433,-0.0160,-0.0247,-0.8959,-0.0370,0.1349,0.0885,0
36893066,0.4433,-0.0160,-0.0247,-0.8959,-0.0414,0.1358,0.0978,0
36893399,0.4434,-0.0160,-0.0247,-0.8958,-0.0333,0.1429,0.0943,0
36893733,0.4434,-0.0160,-0.0247,-0.8958,-0.0672,0.1504,0.0828,0
36894066,0.4435,-0.0160,-0.0247,-0.8958,-0.0410,0.1455,0.0759,0
36894399,0.4436,-0.0160,-0.0247,-0.8958,-0.0430,0.1402,0.0854,0
36894733,0.4436,-0.0160,-0.0247,-0.8957,-0.0356,0.1448,0.0779,0
36895066,0.4437,-0.0160,-0.0247,-0.8957,-0.0572,0.1323,0.0792,0
36895399,0.4437,-0.0160,-0.0247,-0.8957,-0.0649,0.1316,0.0724,0
36895733,0.4437,-0.0160,-0.0247,-0.8957,-0.0593,0.1473,0.0858,0
36896066,0.4437,-0.0160,-0.0247,-0.8957,-0.0521,0.1476,0.0869,0
36896399,0.4438,-0.0160,-0.0246,-0.8956,-0.0662,0.1411,0.0695,0
36896733,0.4439,-0.0160,-0.0246,-0.8956,-0.0109,0.1381,0.0937,0
36897066,0.4439,-0.0160,-0.0246,-0.8956,-0.0572,0.1341,0.0713,0
36897399,0.4439,-0.0160,-0.0246,-0.8956,-0.0542,0.1560,0.0730,0
36897733,0.4440,-0.0160,-0.0245,-0.8955,-0.0466,0.1371,0.0856,0
36898066,0.4440,-0.0160,-0.0245,-0.8955,-0.0449,0.1388,0.0847,0
36898400,0.4440,-0.0159,-0.0245,-0.8956,-0.0433,0.1417,0.0823,0
36898733,0.4441,-0.0159,-0.0245,-0.8955,-0.0477,0.1404,0.0847,0
36899066,0.4441,-0.0159,-0.0244,-0.8955,-0.0372,0.1361,0.0798,0
36899400,0.4441,-0.0159,-0.0244,-0.8955,-0.0243,0.1376,0.0784,0
36899733,0.4441,-0.0159,-0.0244,-0.8955,-0.0470,0.1488,0.0763,0
36900066,0.4441,-0.0159,-0.0243,-0.8955,-0.0515,0.1345,0.0965,0
36900400,0.4441,-0.0159,-0.0243,-0.8955,-0.0588,0.1289,0.0844,0
36900733,0.4441,-0.0159,-0.0242,-0.8955,-0.0317,0.1282,0.1008,0
36901066,0.4441,-0.0159,-0.0242,-0.8955,-0.0459,0.1356,0.0771,0
36901400,0.4442,-0.0159,-0.0242,-0.8955,-0.0465,0.1303,0.0837,0
36901733,0.4442,-0.0159,-0.0241,-0.8955,-0.0469,0.1307,0.0650,0
36902066,0.4442,-0.0159,-0.0241,-0.8954,-0.0482,0.1442,0.0874,0
36902400,0.4443,-0.0158,-0.0240,-0.8954,-0.0533,0.1417,0.0846,0
36902733,0.4444,-0.0158,-0.0240,-0.8954,-0.0398,0.1276,0.0828,0
36903066,0.4445,-0.0158,-0.0240,-0.8953,-0.0340,0.1180,0.0931,0
36903400,0.4446,-0.0158,-0.0239,-0.8953,-0.0544,0.1311,0.0811,0
36903733,0.4446,-0.0158,-0.0239,-0.8953,-0.0571,0.1143,0.0810,0
36904066,0.4446,-0.0158,-0.0238,-0.8953,-0.0312,0.1213,0.0758,0
36904400,0.4446,-0.0158,-0.0238,-0.8953,-0.0596,0.1118,0.0780,0
36904733,0.4446,-0.0158,-0.0237,-0.8953,-0.0396,0.1353,0.0942,0
36905066,0.4446,-0.0158,-0.0237,-0.8953,-0.0387,0.1148,0.0900,0
36905400,0.4445,-0.0158,-0.0236,-0.8953,-0.0431,0.1140,0.0979,0
36905733,0.4445,-0.0158,-0.0236,-0.8953,-0.0372,0.1218,0.0829,0
36906066,0.4446,-0.0158,-0.0235,-0.8953,-0.0339,0.1393,0.0784,0
36906400,0.4447,-0.0158,-0.0235,-0.8952,-0.0479,0.1376,0.0774,0
36906733,0.4447,-0.0158,-0.0234,-0.8952,-0.0329,0.1179,0.0931,0
36907066,0.4466,-0.0148,-0.0171,-0.8944,-0.0034,-0.0027,0.0878,0
36907400,0.4466,-0.0148,-0.0171,-0.8944,-0.0095,0.0038,0.0749,0
36907733,0.4467,-0.0148,-0.0171,-0.8944,0.0087,-0.0014,0.0789,0
36908066,0.4467,-0.0148,-0.0171,-0.8944,-0.0074,0.0035,0.0871,0
36908400,0.4467,-0.0148,-0.0171,-0.8944,-0.0041,0.0148,0.0827,0
36908733,0.4467,-0.0148,-0.0171,-0.8944,0.0102,-0.0003,0.0718,0
36909066,0.4468,-0.0148,-0.0171,-0.8944,0.0015,-0.0149,0.0892,0
36909400,0.4468,-0.0148,-0.0171,-0.8943,0.0035,-0.0101,0.0964,0
