Device,EulerX,EulerY,EulerZ,FreeAccX,FreeAccY,FreeAccZ,Timestamp
D4:22:CD:00:05:5D,174.48342895507812,-48.45292663574219,-65.59658813476562,0.2939637303352356,1.4924728870391846,-0.3162689208984375,2315.7613396644592
D4:22:CD:00:05:6B,-88.96304321289062,-56.41286849975586,-42.35105895996094,-0.45363283157348633,17.462371826171875,10.90220832824707,2315.7613396644592
D4:22:CD:00:49:AA,128.0901336669922,-75.7520751953125,146.80300903320312,2.245884418487549,0.7545938491821289,1.8850584030151367,2315.7613396644592
D4:22:CD:00:05:6E,75.38247680664062,-48.660064697265625,24.509876251220703,43.28871154785156,-6.649206161499023,5.143553733825684,2315.7613396644592
D4:22:CD:00:05:5E,-142.10337829589844,-37.08126449584961,-67.12711334228516,7.237260818481445,-19.045982360839844,5.373411178588867,2315.7613396644592
D4:22:CD:00:05:5D,174.545166015625,-45.76806640625,-63.230594635009766,0.15500852465629578,1.06663179397583,1.1797313690185547,2315.764347553253
D4:22:CD:00:05:6B,-83.50093078613281,-44.235904693603516,-53.44857406616211,1.523940086364746,24.87946319580078,20.481403350830078,2315.764347553253
D4:22:CD:00:49:AA,116.20489501953125,-76.28724670410156,157.1029815673828,-4.550336837768555,-3.4437594413757324,1.3663759231567383,2315.764347553253
D4:22:CD:00:05:6E,71.23065948486328,-46.95684814453125,32.95891189575195,29.602088928222656,2.9886550903320312,1.8784599304199219,2315.764347553253
D4:22:CD:00:05:5E,-136.94471740722656,-33.4199104309082,-67.42031860351562,4.909453392028809,-17.632369995117188,3.350022315979004,2315.764347553253
D4:22:CD:00:05:6B,-78.40341186523438,-27.10456085205078,-58.69334030151367,1.278459072113037,16.641220092773438,23.151111602783203,2315.7673625946045
D4:22:CD:00:49:AA,116.64974212646484,-75.69552612304688,157.7350616455078,-9.056245803833008,-0.46331197023391724,7.33525276184082,2315.7673625946045
D4:22:CD:00:05:6E,83.18851470947266,-40.701969146728516,44.20578384399414,3.5800461769104004,12.802248001098633,14.47231674194336,2315.7673625946045
D4:22:CD:00:05:5E,-131.9315185546875,-32.32459259033203,-66.6664047241211,1.3982899188995361,-11.933767318725586,-0.19062328338623047,2315.7673625946045
D4:22:CD:00:05:5D,174.91563415527344,-66.77501678466797,-114.70905303955078,-0.17701733112335205,0.5696390867233276,0.5740890502929688,2315.7693614959717
D4:22:CD:00:49:AA,124.23283386230469,-75.25944519042969,152.3590850830078,-0.9960153102874756,-1.8066132068634033,8.279815673828125,2315.7693614959717
D4:22:CD:00:05:6E,78.48738861083984,-34.9385986328125,54.93021774291992,0.8940165042877197,9.7470703125,13.389863967895508,2315.7693614959717
D4:22:CD:00:05:5E,-131.88418579101562,-34.08971405029297,-65.65858459472656,5.197381019592285,-3.2902965545654297,-1.4153566360473633,2315.7693614959717
D4:22:CD:00:05:5D,177.7417449951172,-67.46145629882812,-117.91946411132812,0.05925194174051285,-2.2393417358398438,-0.2427968978881836,2315.845895051956
D4:22:CD:00:05:6B,-78.1326904296875,-44.42986297607422,-82.9874038696289,0.810010552406311,-1.4396049976348877,-2.589963436126709,2315.845895051956
D4:22:CD:00:05:5E,-74.05615234375,-53.14056396484375,-97.19086456298828,-1.607764482498169,-6.526175498962402,0.4033651351928711,2315.845895051956
D4:22:CD:00:05:5D,-179.68226623535156,-68.7179183959961,-120.31397247314453,0.4955604076385498,-3.309830665588379,-0.6079339981079102,2315.8759083747864
D4:22:CD:00:05:6B,-79.29205322265625,-47.71232223510742,-88.51722717285156,-0.16527998447418213,-2.1675610542297363,-5.451086044311523,2315.8759083747864
D4:22:CD:00:49:AA,75.75814056396484,-82.92742919921875,-145.77392578125,0.6824153661727905,0.8304297924041748,-4.030696868896484,2315.8759083747864
D4:22:CD:00:05:6E,106.25032806396484,-48.39790725708008,15.75527286529541,-0.19102591276168823,-0.7128002643585205,5.708982467651367,2315.8759083747864
D4:22:CD:00:05:5E,-68.37811279296875,-61.71311569213867,-102.18856811523438,-38.65026092529297,-11.250404357910156,7.234384536743164,2315.8759083747864
D4:22:CD:00:05:5D,-177.4423370361328,-69.07146453857422,-120.7955322265625,-0.12276671826839447,-2.3234987258911133,-1.6164836883544922,2315.9064297676086
D4:22:CD:00:05:6B,-82.4560546875,-50.560333251953125,-94.70289611816406,-1.8662853240966797,-1.2411389350891113,-7.910870552062988,2315.9064297676086
D4:22:CD:00:49:AA,73.98152160644531,-81.10852813720703,-145.1027069091797,0.304729700088501,-0.16167807579040527,-3.5612564086914062,2315.9064297676086
D4:22:CD:00:05:6E,104.18148803710938,-58.11727523803711,17.327356338500977,-1.0196034908294678,2.0431137084960938,7.962343215942383,2315.9064297676086
D4:22:CD:00:05:5E,-158.94537353515625,-62.790470123291016,-22.181049346923828,17.257484436035156,-6.980695724487305,1.8448638916015625,2315.9064297676086
D4:22:CD:00:05:5D,-177.78831481933594,-68.1873550415039,-117.57791137695312,-1.7826452255249023,1.666642427444458,-1.0751171112060547,2315.9364364147186
D4:22:CD:00:05:6B,-90.55252075195312,-52.98027038574219,-99.9850082397461,-2.4382872581481934,2.1453380584716797,-9.022834777832031,2315.9364364147186
D4:22:CD:00:49:AA,74.2203140258789,-79.52841186523438,-147.0839080810547,-1.3372838497161865,-2.8196253776550293,-2.848388671875,2315.9364364147186
D4:22:CD:00:05:6E,104.69771575927734,-66.53533172607422,11.700969696044922,-0.7571885585784912,-7.868340492248535,15.685258865356445,2315.9364364147186
D4:22:CD:00:05:5E,171.53932189941406,-64.90824127197266,4.867458343505859,9.721635818481445,-7.52001953125,10.195379257202148,2315.9364364147186
D4:22:CD:00:05:5D,178.56932067871094,-65.57269287109375,-111.64976501464844,0.17590981721878052,-0.14568617939949036,0.5155000686645508,2315.9654364585876
D4:22:CD:00:05:6B,-97.21639251708984,-54.05733108520508,-105.33169555664062,8.200637817382812,7.879406929016113,-1.0535783767700195,2315.9654364585876
D4:22:CD:00:49:AA,74.88955688476562,-80.42618560791016,-148.98788452148438,-3.269761085510254,-3.2338953018188477,-2.313507080078125,2315.9654364585876
D4:22:CD:00:05:6E,86.8193130493164,-70.0811538696289,18.774995803833008,9.488536834716797,-6.178646087646484,12.052040100097656,2315.9654364585876
D4:22:CD:00:05:5E,155.42935180664062,-66.72734832763672,22.024696350097656,8.276426315307617,6.192291259765625,14.913896560668945,2315.9654364585876
D4:22:CD:00:05:5D,175.145263671875,-61.98532485961914,-107.4005355834961,-0.6465816497802734,0.3408677577972412,1.2013063430786133,2315.995972633362
D4:22:CD:00:05:6B,-97.9886474609375,-51.94506072998047,-113.5550537109375,15.895671844482422,2.0972142219543457,2.0545883178710938,2315.995972633362
D4:22:CD:00:49:AA,71.59093475341797,-82.29390716552734,-146.49737548828125,-0.03456024080514908,-2.3082327842712402,-2.0530343055725098,2315.995972633362
D4:22:CD:00:05:6E,71.70342254638672,-70.71150207519531,26.918598175048828,8.798633575439453,-2.924004554748535,6.735599517822266,2315.995972633362
D4:22:CD:00:05:5E,160.4267120361328,-67.80245971679688,21.92711067199707,7.495976448059082,0.166395902633667,16.786746978759766,2315.995972633362
D4:22:CD:00:05:5D,173.1295623779297,-58.2664680480957,-104.60377502441406,-0.6803776025772095,4.090660095214844,-1.5962352752685547,2316.0259721279144
D4:22:CD:00:05:6B,-91.72212982177734,-47.437862396240234,-124.20577239990234,9.904178619384766,0.9230883121490479,0.33017730712890625,2316.0259721279144
D4:22:CD:00:49:AA,69.71084594726562,-82.89350891113281,-145.22592163085938,2.1047263145446777,-0.7205145359039307,0.08495140075683594,2316.0259721279144
D4:22:CD:00:05:6E,66.02782440185547,-70.41373443603516,35.52351379394531,7.179286003112793,5.469991683959961,9.39073371887207,2316.0259721279144
D4:22:CD:00:05:5E,166.6044464111328,-67.39225769042969,16.81910514831543,4.709697723388672,-1.8390154838562012,16.553550720214844,2316.0259721279144
D4:22:CD:00:05:5D,172.9316864013672,-55.48640060424805,-102.66203308105469,1.56773042678833,3.287567138671875,-0.7955970764160156,2316.085514307022
D4:22:CD:00:05:6B,-88.97795104980469,-39.07108688354492,-130.42091369628906,15.846878051757812,2.661118984222412,10.589738845825195,2316.085514307022
D4:22:CD:00:49:AA,75.2310562133789,-83.00072479248047,-150.8815460205078,-0.8356692790985107,-3.629638671875,5.684637069702148,2316.085514307022
D4:22:CD:00:05:6E,64.9986801147461,-69.32482147216797,39.904205322265625,1.501990556716919,10.249338150024414,12.535083770751953,2316.085514307022
D4:22:CD:00:05:5E,166.92559814453125,-67.052978515625,15.779081344604492,1.374528408050537,3.7450098991394043,10.065727233886719,2316.085514307022
D4:22:CD:00:05:5D,174.3623046875,-54.2578010559082,-101.66071319580078,4.754164695739746,1.4579617977142334,1.2704877853393555,2316.1165149211884
D4:22:CD:00:05:6B,-89.61170959472656,-25.331899642944336,-132.78988647460938,22.893836975097656,-1.4756231307983398,22.752716064453125,2316.1165149211884
D4:22:CD:00:49:AA,88.34697723388672,-83.69773864746094,-163.4378662109375,1.1819303035736084,-4.7075042724609375,7.272529602050781,2316.1165149211884
D4:22:CD:00:05:6E,67.71002197265625,-67.62300872802734,40.983978271484375,0.6511702537536621,11.034749984741211,11.316156387329102,2316.1165149211884
D4:22:CD:00:05:5E,164.73388671875,-68.81430053710938,18.596473693847656,-1.5599603652954102,7.092121124267578,0.8786811828613281,2316.1165149211884
D4:22:CD:00:05:5D,175.60292053222656,-54.61024475097656,-101.30976104736328,-4.259027481079102,0.9115233421325684,5.340386390686035,2316.146506547928
D4:22:CD:00:05:6B,-85.42620086669922,-6.7921366691589355,-133.1640625,12.820114135742188,-5.9320068359375,27.403915405273438,2316.146506547928
D4:22:CD:00:49:AA,105.13929748535156,-84.1540756225586,-179.71331787109375,1.0431461334228516,-1.9028105735778809,9.023887634277344,2316.146506547928
D4:22:CD:00:05:6E,69.89270782470703,-66.69837188720703,47.792335510253906,-5.3696746826171875,8.125577926635742,8.21607780456543,2316.146506547928
D4:22:CD:00:05:5E,158.78591918945312,-73.27281188964844,24.350133895874023,-0.9774036407470703,7.573205947875977,-6.393948554992676,2316.146506547928
D4:22:CD:00:05:5D,176.39559936523438,-55.8884162902832,-101.55650329589844,-4.114357948303223,2.962157726287842,3.8917150497436523,2316.2051389217377
D4:22:CD:00:05:6B,-78.6650619506836,12.003486633300781,-131.8784637451172,-0.6273078918457031,-17.648876190185547,14.373504638671875,2316.2051389217377
D4:22:CD:00:49:AA,113.92607116699219,-84.87654113769531,172.88864135742188,-4.801962852478027,-1.1424760818481445,13.44093132019043,2316.2051389217377
D4:22:CD:00:05:6E,64.40478515625,-66.838623046875,63.662574768066406,-11.214738845825195,2.126890182495117,3.993091583251953,2316.2051389217377
D4:22:CD:00:05:5E,146.06919860839844,-79.66917419433594,34.832313537597656,-1.0304818153381348,6.682045936584473,-8.527908325195312,2316.2051389217377
D4:22:CD:00:05:5D,177.203857421875,-59.1841926574707,-102.63517761230469,1.3964879512786865,3.0891618728637695,4.455278396606445,2316.209139585495
D4:22:CD:00:05:6B,-74.30384063720703,26.788461685180664,-134.83460998535156,-13.975814819335938,-22.68752670288086,7.599155426025391,2316.209139585495
D4:22:CD:00:49:AA,122.44937896728516,-87.08866119384766,167.12399291992188,-2.49977970123291,1.387281894683838,10.54184341430664,2316.209139585495
D4:22:CD:00:05:6E,54.046329498291016,-65.83251953125,84.16197204589844,-5.802896499633789,0.2508668899536133,-2.7808995246887207,2316.209139585495
D4:22:CD:00:05:5E,106.10418701171875,-86.15717315673828,69.02584838867188,-4.582727432250977,5.2056684494018555,-10.030767440795898,2316.209139585495
D4:22:CD:00:05:5D,177.10231018066406,-65.19585418701172,-102.45001983642578,-1.8545339107513428,0.4021029472351074,8.667745590209961,2316.236227750778
D4:22:CD:00:05:6B,-70.79102325439453,38.27330780029297,-142.8828887939453,-18.046916961669922,-4.221458435058594,2.310628890991211,2316.236227750778
D4:22:CD:00:49:AA,149.2159423828125,-89.61947631835938,143.91929626464844,0.8227394819259644,2.142444133758545,5.800844192504883,2316.236227750778
D4:22:CD:00:05:6E,46.356285095214844,-63.00662612915039,106.09078216552734,-5.996315956115723,-0.8141553401947021,-8.304681777954102,2316.236227750778
D4:22:CD:00:05:5E,0.4526262879371643,-84.5386962890625,168.5135498046875,-5.773837089538574,5.672520637512207,-12.573844909667969,2316.236227750778
D4:22:CD:00:05:5D,174.2311248779297,-73.46538543701172,-100.68077087402344,-2.7831811904907227,-12.929559707641602,11.244087219238281,2316.2663145065308
D4:22:CD:00:05:6B,-68.4070053100586,46.67709732055664,-151.18080139160156,-11.592824935913086,8.963197708129883,-1.8591232299804688,2316.2663145065308
D4:22:CD:00:49:AA,-60.13175582885742,-87.35847473144531,-3.3053910732269287,-2.717522144317627,0.46707481145858765,-0.6297626495361328,2316.2663145065308
D4:22:CD:00:05:6E,42.075626373291016,-59.06671905517578,126.84093475341797,-7.891061782836914,-3.5790467262268066,-12.569494247436523,2316.2663145065308
D4:22:CD:00:05:5E,-20.09416389465332,-77.70467376708984,-174.6638641357422,-4.319211006164551,2.8896846771240234,-10.322137832641602,2316.2663145065308
D4:22:CD:00:05:5D,165.28785705566406,-80.04158020019531,-96.28196716308594,6.372052192687988,-3.2126259803771973,-3.9318127632141113,2316.2958569526672
D4:22:CD:00:05:6B,-64.63912963867188,54.42721176147461,-155.5452880859375,-5.392366409301758,15.203020095825195,-3.7788491249084473,2316.2958569526672
D4:22:CD:00:49:AA,-66.56663513183594,-84.42391967773438,6.929559230804443,-3.4475064277648926,-0.8907185792922974,-9.154062271118164,2316.2958569526672
D4:22:CD:00:05:6E,39.09873580932617,-55.427581787109375,143.41671752929688,-5.009591102600098,-7.051810264587402,-14.065025329589844,2316.2958569526672
D4:22:CD:00:05:5E,-24.593446731567383,-70.09456634521484,-171.97109985351562,-3.9628963470458984,1.418912649154663,-7.835780143737793,2316.2958569526672
D4:22:CD:00:05:5D,159.88031005859375,-80.3795394897461,-89.500732421875,16.844127655029297,1.2622499465942383,-11.090856552124023,2316.3258559703827
D4:22:CD:00:05:6B,-60.83073043823242,62.000797271728516,-156.43930053710938,-6.3818864822387695,10.577619552612305,-7.613030433654785,2316.3258559703827
D4:22:CD:00:49:AA,-81.06722259521484,-83.25061798095703,25.127180099487305,4.220698356628418,1.1324915885925293,-11.717132568359375,2316.3258559703827
D4:22:CD:00:05:6E,36.70375442504883,-52.917381286621094,156.02178955078125,-1.0725224018096924,-6.392616271972656,-11.551578521728516,2316.3258559703827
D4:22:CD:00:05:5E,-24.863431930541992,-62.494163513183594,-171.90625,-8.994653701782227,-0.9901505708694458,-8.18674087524414,2316.3258559703827
D4:22:CD:00:05:5D,169.42849731445312,-79.42247772216797,-91.07174682617188,4.988285064697266,-9.673027038574219,-7.690032958984375,2316.3864057064056
D4:22:CD:00:05:6B,-55.49622344970703,68.55010223388672,-157.65431213378906,-1.4393346309661865,6.346785545349121,-12.086679458618164,2316.3864057064056
D4:22:CD:00:49:AA,-80.87139129638672,-83.29896545410156,27.097354888916016,5.229025840759277,0.8863407373428345,-8.720771789550781,2316.3864057064056
D4:22:CD:00:05:6E,35.4290657043457,-51.568241119384766,165.25741577148438,0.5221048593521118,-6.335643768310547,-10.078594207763672,2316.3864057064056
D4:22:CD:00:05:5E,-26.926223754882812,-56.560951232910156,-172.02288818359375,-12.976631164550781,-4.555202484130859,-7.290611267089844,2316.3864057064056
D4:22:CD:00:05:5D,-179.54327392578125,-81.43246459960938,-99.0737075805664,3.0989460945129395,-3.9972739219665527,-9.780607223510742,2316.4154059886932
D4:22:CD:00:05:6B,-54.68568801879883,72.48214721679688,-164.3852996826172,3.879166603088379,1.3402109146118164,-12.509225845336914,2316.4154059886932
D4:22:CD:00:49:AA,-65.6890640258789,-83.57471466064453,11.461372375488281,1.5250041484832764,0.7705655097961426,-9.915252685546875,2316.4154059886932
D4:22:CD:00:05:6E,33.38734817504883,-51.37067413330078,171.6399688720703,0.2033918797969818,-6.480521202087402,-9.016519546508789,2316.4154059886932
D4:22:CD:00:05:5E,-33.503929138183594,-53.867801666259766,-171.01678466796875,-15.98814582824707,-3.3698105812072754,-11.818273544311523,2316.4154059886932
D4:22:CD:00:05:5D,-161.42642211914062,-82.53728485107422,-118.9879379272461,-8.094497680664062,12.441904067993164,-5.25642204284668,2316.4454066753387
D4:22:CD:00:05:6B,-68.99138641357422,72.03781127929688,174.58596801757812,2.635016441345215,-2.4725613594055176,-12.28736686706543,2316.4454066753387
D4:22:CD:00:49:AA,-57.53384780883789,-83.71843719482422,3.0047411918640137,-0.7576688528060913,0.011579286307096481,-10.364328384399414,2316.4454066753387
D4:22:CD:00:05:6E,29.99135398864746,-52.38948059082031,176.5194854736328,-2.6816720962524414,-6.326311111450195,-5.15238094329834,2316.4454066753387
D4:22:CD:00:05:5E,-40.31454849243164,-54.90196990966797,-169.18618774414062,-14.378290176391602,1.3455314636230469,-11.307544708251953,2316.4454066753387
D4:22:CD:00:05:5D,-172.06973266601562,-79.51908111572266,-112.94580841064453,-15.02895736694336,13.024591445922852,-1.763636589050293,2316.4764206409454
D4:22:CD:00:05:6B,-80.10904693603516,62.575843811035156,153.30047607421875,2.3501334190368652,5.9295759201049805,-15.77431869506836,2316.4764206409454
D4:22:CD:00:49:AA,-53.622283935546875,-83.66475677490234,-0.7839805483818054,0.16517049074172974,-1.4515480995178223,-4.857693672180176,2316.4764206409454
D4:22:CD:00:05:6E,26.68194007873535,-54.23558044433594,-179.0432891845703,-2.9072489738464355,-6.612536430358887,-3.0246124267578125,2316.4764206409454
D4:22:CD:00:05:5E,-48.01237487792969,-58.48540115356445,-162.3031463623047,-20.26431655883789,-8.463756561279297,-4.551222801208496,2316.4764206409454
D4:22:CD:00:05:5D,176.23391723632812,-76.04826354980469,-98.53147888183594,-8.726724624633789,-1.0623884201049805,0.6122360229492188,2316.5061802864075
D4:22:CD:00:05:6B,-69.82682037353516,45.355777740478516,143.7791290283203,-16.720317840576172,18.40882110595703,-19.02849578857422,2316.5061802864075
D4:22:CD:00:49:AA,-47.04987335205078,-83.70001220703125,-8.687280654907227,2.6284914016723633,0.3951035141944885,-2.1922354698181152,2316.5061802864075
D4:22:CD:00:05:6E,23.919042587280273,-56.75787353515625,-174.2687530517578,-2.2610177993774414,-7.0737762451171875,-3.632885456085205,2316.5061802864075
D4:22:CD:00:05:5E,-54.188385009765625,-63.429691314697266,-154.33331298828125,-2.57928466796875,-15.944122314453125,2.5168609619140625,2316.5061802864075
D4:22:CD:00:05:5D,170.9001007080078,-73.37754821777344,-88.16552734375,3.8414931297302246,0.12865719199180603,3.0535507202148438,2316.5363943576813
D4:22:CD:00:05:6B,-49.844879150390625,37.50629806518555,138.6014862060547,17.123977661132812,-12.156030654907227,-25.490760803222656,2316.5363943576813
D4:22:CD:00:49:AA,-45.17007827758789,-84.29106140136719,-13.750975608825684,1.4283764362335205,-0.26653069257736206,-0.7643585205078125,2316.5363943576813
D4:22:CD:00:05:6E,21.692646026611328,-60.234893798828125,-169.4254913330078,-2.5782999992370605,-11.376897811889648,2.604781150817871,2316.5363943576813
D4:22:CD:00:05:5E,-61.95157241821289,-68.13549041748047,-145.8210906982422,-8.826934814453125,-2.538236141204834,5.665508270263672,2316.5363943576813
D4:22:CD:00:05:5D,166.26039123535156,-72.0238265991211,-81.85380554199219,6.428570747375488,-0.49070435762405396,5.316584587097168,2316.5653936862946
D4:22:CD:00:05:6B,-41.48973083496094,38.25117111206055,142.24533081054688,11.006414413452148,-9.980785369873047,-12.282804489135742,2316.5653936862946
D4:22:CD:00:49:AA,-49.483917236328125,-86.07270050048828,-13.389947891235352,-4.325187683105469,-2.4870409965515137,5.7798357009887695,2316.5653936862946
D4:22:CD:00:05:6E,17.657276153564453,-63.99797821044922,-167.47410583496094,-1.6209981441497803,-15.854793548583984,9.852291107177734,2316.5653936862946
D4:22:CD:00:05:5E,-78.83893585205078,-71.15687561035156,-132.93478393554688,-2.7998275756835938,9.375177383422852,6.587894439697266,2316.5653936862946
D4:22:CD:00:05:5D,159.39117431640625,-71.0906982421875,-75.1179428100586,-2.6595349311828613,-0.7230478525161743,3.036282539367676,2316.5959355831146
D4:22:CD:00:05:6B,-40.11237335205078,41.97336196899414,154.07839965820312,0.4254753589630127,8.200088500976562,-11.690561294555664,2316.5959355831146
D4:22:CD:00:49:AA,-74.85612487792969,-88.31658172607422,7.444962501525879,-4.073528289794922,-3.1616768836975098,7.007488250732422,2316.5959355831146
D4:22:CD:00:05:6E,13.309626579284668,-68.07392883300781,-173.9495086669922,-2.211825370788574,-9.312700271606445,7.430639266967773,2316.5959355831146
D4:22:CD:00:05:5E,-90.08528137207031,-73.46117401123047,-124.51201629638672,-5.568794250488281,3.174445152282715,-0.03612709045410156,2316.5959355831146
D4:22:CD:00:05:5D,152.6564178466797,-70.2093505859375,-68.62322235107422,-3.6245975494384766,-0.3744964003562927,6.132126808166504,2316.6259367465973
D4:22:CD:00:05:6B,-36.50430679321289,47.20319747924805,174.4697723388672,-20.3670654296875,13.725664138793945,-18.887279510498047,2316.6259367465973
D4:22:CD:00:49:AA,-141.16012573242188,-88.01151275634766,68.90545654296875,1.7320520877838135,-1.664417028427124,2.855417251586914,2316.6259367465973
D4:22:CD:00:05:6E,6.974790096282959,-69.18587493896484,-179.4792022705078,5.449891090393066,5.6225786209106445,13.983510971069336,2316.6259367465973
D4:22:CD:00:05:5E,-96.21104431152344,-75.94920349121094,-120.50141143798828,-6.420076370239258,-2.636262893676758,-0.9338321685791016,2316.6259367465973
D4:22:CD:00:05:5D,145.4120330810547,-70.11556243896484,-63.63918685913086,-2.367341995239258,-0.4110237956047058,5.901411056518555,2316.685484647751
D4:22:CD:00:05:6B,-28.936182022094727,48.42487335205078,-164.6523895263672,-11.974508285522461,3.1034317016601562,0.2744607925415039,2316.685484647751
D4:22:CD:00:49:AA,-153.7387237548828,-87.03852844238281,77.92718505859375,3.522745132446289,-2.7150068283081055,4.275724411010742,2316.685484647751
D4:22:CD:00:05:6E,-3.1526098251342773,-69.35279083251953,175.03929138183594,-4.641449928283691,3.335536479949951,5.089221000671387,2316.685484647751
D4:22:CD:00:05:5E,-97.66407775878906,-79.19197845458984,-119.16397857666016,-4.618988037109375,-1.7758822441101074,3.9204235076904297,2316.685484647751
D4:22:CD:00:05:5D,134.81704711914062,-71.83935546875,-57.87483596801758,3.860098361968994,-3.2103304862976074,5.374317169189453,2316.715474843979
D4:22:CD:00:05:6B,-22.648283004760742,46.03773880004883,-148.6538543701172,-9.446203231811523,4.583192825317383,12.063817977905273,2316.715474843979
D4:22:CD:00:49:AA,-161.7484588623047,-85.65332794189453,81.64657592773438,3.9127745628356934,0.6795297861099243,0.33975696563720703,2316.715474843979
D4:22:CD:00:05:6E,1.6644667387008667,-69.63571166992188,165.49325561523438,-7.682604789733887,4.362339973449707,2.034958839416504,2316.715474843979
D4:22:CD:00:05:5E,-97.16047668457031,-81.95416259765625,-119.87495422363281,-5.928123474121094,-0.46820980310440063,1.9362516403198242,2316.715474843979
D4:22:CD:00:05:5D,123.76203155517578,-74.0326156616211,-58.32896423339844,12.50849723815918,9.36009407043457,-0.42764949798583984,2316.7454743385315
D4:22:CD:00:05:6B,-16.141691207885742,41.6983757019043,-136.62022399902344,-0.5526725053787231,4.711325645446777,18.855525970458984,2316.7454743385315
D4:22:CD:00:49:AA,-167.16934204101562,-83.27873992919922,81.94239044189453,4.589137077331543,-2.0737485885620117,-1.1067237854003906,2316.7454743385315
D4:22:CD:00:05:6E,11.867905616760254,-68.91331481933594,158.4078826904297,-12.521995544433594,-0.12788408994674683,-3.981199264526367,2316.7454743385315
D4:22:CD:00:05:5E,-81.6544418334961,-84.22138214111328,-135.370849609375,-4.679247856140137,-0.34301525354385376,2.1334400177001953,2316.7454743385315
D4:22:CD:00:05:5D,127.30247497558594,-73.63756561279297,-78.04244995117188,14.332771301269531,15.576454162597656,6.649299621582031,2316.7754888534546
D4:22:CD:00:05:6B,-4.671826362609863,32.940853118896484,-125.016845703125,-3.2911458015441895,7.454834938049316,5.154384613037109,2316.7754888534546
D4:22:CD:00:49:AA,-169.5460662841797,-81.82260131835938,80.91374969482422,0.6289998292922974,0.5717809200286865,2.990107536315918,2316.7754888534546
D4:22:CD:00:05:6E,13.36705207824707,-68.18746185302734,157.7373504638672,-11.623239517211914,-1.544665813446045,-4.955291748046875,2316.7754888534546
D4:22:CD:00:05:5E,-42.187381744384766,-84.78526306152344,-173.70953369140625,-2.688235282897949,0.1737515926361084,2.4165563583374023,2316.7754888534546
D4:22:CD:00:05:5D,136.97711181640625,-67.02645111083984,-100.09400939941406,12.595266342163086,5.425806045532227,4.105464935302734,2316.8060166835785
D4:22:CD:00:05:6B,6.815839767456055,20.111604690551758,-114.50057983398438,13.009136199951172,-9.444454193115234,-2.753142833709717,2316.8060166835785
D4:22:CD:00:49:AA,-171.84036254882812,-81.51306915283203,82.93936157226562,0.6234809160232544,1.6682403087615967,7.109722137451172,2316.8060166835785
D4:22:CD:00:05:6E,9.380491256713867,-68.35427856445312,160.90359497070312,-9.217613220214844,-0.9105848073959351,-5.0060319900512695,2316.8060166835785
D4:22:CD:00:05:5E,-1.6466221809387207,-81.52715301513672,150.31065368652344,1.017404556274414,-1.1752161979675293,-1.9828510284423828,2316.8060166835785
D4:22:CD:00:05:5D,147.18309020996094,-56.9970703125,-113.21388244628906,4.8870954513549805,0.6530512571334839,-1.7097091674804688,2316.836017847061
D4:22:CD:00:05:6B,0.5974270701408386,5.384358882904053,-106.56725311279297,12.345998764038086,-7.355476379394531,-3.4620141983032227,2316.836017847061
D4:22:CD:00:49:AA,-173.94204711914062,-81.23307800292969,86.21619415283203,5.374029159545898,3.252305507659912,3.4909820556640625,2316.836017847061
D4:22:CD:00:05:6E,4.504636764526367,-69.15766906738281,164.68116760253906,-6.279721260070801,-0.5729531049728394,-4.6748552322387695,2316.836017847061
D4:22:CD:00:05:5E,7.288177967071533,-79.9715576171875,146.3936309814453,-6.628085136413574,-2.011634349822998,-8.955251693725586,2316.836017847061
D4:22:CD:00:05:5D,155.62290954589844,-46.7915153503418,-120.31049346923828,-4.3412322998046875,1.0162832736968994,-6.274312973022461,2316.8660168647766
D4:22:CD:00:05:6B,-12.545416831970215,-8.210761070251465,-99.94623565673828,-11.99544906616211,-3.4440083503723145,2.91976261138916,2316.8660168647766
D4:22:CD:00:49:AA,-177.97401428222656,-81.13689422607422,90.88114929199219,5.413236618041992,1.0478360652923584,1.0216140747070312,2316.8660168647766
