Device,EulerX,EulerY,EulerZ,FreeAccX,FreeAccY,FreeAccZ,Timestamp
D4:22:CD:00:05:6E,92.9256362915039,1.153494119644165,0.5635164976119995,-4.372092247009277,3.134202480316162,7.370826721191406,2138.113566160202
D4:22:CD:00:05:6B,-82.7247543334961,-3.7041425704956055,-58.32439422607422,4.350872993469238,-0.188498854637146,5.615159034729004,2138.113566160202
D4:22:CD:00:49:AA,150.6609344482422,-84.13592529296875,152.69931030273438,0.13299646973609924,2.5021510124206543,6.892515182495117,2138.113566160202
D4:22:CD:00:05:5E,-178.45733642578125,-63.8826789855957,-65.27302551269531,-0.3124369978904724,0.7562681436538696,2.5743751525878906,2138.113566160202
D4:22:CD:00:05:5D,168.42291259765625,-47.542057037353516,-117.90388488769531,-6.839864730834961,8.493118286132812,5.557583808898926,2138.113566160202
D4:22:CD:00:05:6B,-80.33641815185547,-2.2270452976226807,-56.74256896972656,4.414606094360352,-0.5021735429763794,4.020320892333984,2138.1245748996735
D4:22:CD:00:49:AA,157.6410369873047,-83.47661590576172,144.71249389648438,2.6236586570739746,1.2855679988861084,4.080813407897949,2138.1245748996735
D4:22:CD:00:05:5E,-177.86598205566406,-66.04737091064453,-65.40198516845703,-0.8748441934585571,-0.3191123604774475,3.2736120223999023,2138.1245748996735
D4:22:CD:00:05:5D,163.00271606445312,-40.71942138671875,-112.42701721191406,-4.205959320068359,2.3958582878112793,2.9584197998046875,2138.1245748996735
D4:22:CD:00:05:6B,-77.45088958740234,-1.0389115810394287,-56.20782470703125,3.3369436264038086,-0.6795949935913086,2.6905136108398438,2138.130635023117
D4:22:CD:00:49:AA,155.67599487304688,-82.98635864257812,144.74224853515625,2.55120849609375,1.888251781463623,1.1607942581176758,2138.130635023117
D4:22:CD:00:05:5E,-175.5350341796875,-68.74760437011719,-66.65674591064453,2.5288338661193848,-0.8000428676605225,4.168397903442383,2138.130635023117
D4:22:CD:00:05:5D,155.7779998779297,-34.44635772705078,-107.75318145751953,-2.2880778312683105,-2.497342109680176,-2.4586868286132812,2138.130635023117
