DeviceTag: Xsens DOT5D,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.156,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1621747,0.1575,0.0130,-0.0096,0.9874,-0.8518,-1.6408,161.8875,0.1068,-0.0395,0.0646,0
1621914,0.1576,0.0130,-0.0096,0.9874,-0.8500,-1.6495,161.8753,0.1152,-0.0432,0.0704,0
1622081,0.1577,0.0131,-0.0096,0.9874,-0.8478,-1.6575,161.8609,0.1414,-0.0254,0.0749,0
1622247,0.1579,0.0132,-0.0096,0.9873,-0.8447,-1.6660,161.8382,0.1316,-0.0282,0.0880,0
1622414,0.1580,0.0133,-0.0096,0.9873,-0.8428,-1.6744,161.8241,0.1232,-0.0311,0.0740,0
1622581,0.1582,0.0133,-0.0096,0.9873,-0.8404,-1.6825,161.8101,0.1266,-0.0243,0.0747,0
1622747,0.1583,0.0134,-0.0095,0.9873,-0.8369,-1.6896,161.7907,0.1114,-0.0218,0.0726,0
1622914,0.1585,0.0135,-0.0095,0.9872,-0.8348,-1.6967,161.7700,0.1178,-0.0193,0.0687,0
1623081,0.1587,0.0135,-0.0095,0.9872,-0.8326,-1.7052,161.7479,0.1346,-0.0272,0.0810,0
1623247,0.1589,0.0136,-0.0095,0.9872,-0.8307,-1.7128,161.7228,0.1262,-0.0309,0.0527,0
1623414,0.1590,0.0137,-0.0095,0.9871,-0.8283,-1.7204,161.7110,0.1323,-0.0192,0.0670,0
1623581,0.1592,0.0137,-0.0095,0.9871,-0.8257,-1.7280,161.6907,0.1343,-0.0303,0.0460,0
1623747,0.1593,0.0138,-0.0095,0.9871,-0.8224,-1.7358,161.6739,0.1318,-0.0206,0.0686,0
1623914,0.1595,0.0139,-0.0095,0.9871,-0.8203,-1.7440,161.6574,0.1252,-0.0009,0.0669,0
1624081,0.1596,0.0139,-0.0095,0.9870,-0.8190,-1.7510,161.6423,0.1141,-0.0025,0.0697,0
