DeviceTag: Movella DOT1,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.258,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1623747,0.6332,-0.0066,-0.0135,0.7739,-1.6795,-0.3926,101.4291,0.0748,-0.1991,-0.1577,0
1623914,0.6332,-0.0065,-0.0136,0.7739,-1.6742,-0.4108,101.4285,0.0836,-0.1766,-0.1310,0
1624081,0.6332,-0.0063,-0.0137,0.7739,-1.6699,-0.4300,101.4253,0.1153,-0.1747,-0.1396,0
1624247,0.6332,-0.0062,-0.0137,0.7738,-1.6657,-0.4488,101.4210,0.0963,-0.1981,-0.1388,0
1624414,0.6332,-0.0060,-0.0138,0.7738,-1.6601,-0.4664,101.4198,0.0871,-0.2178,-0.1344,0
1624581,0.6332,-0.0059,-0.0139,0.7738,-1.6556,-0.4862,101.4212,0.0851,-0.2210,-0.1585,0
1624747,0.6332,-0.0057,-0.0139,0.7738,-1.6515,-0.5037,101.4217,0.1124,-0.2134,-0.1248,0
1624914,0.6332,-0.0056,-0.0140,0.7738,-1.6471,-0.5221,101.4200,0.1178,-0.2044,-0.1451,0
1625081,0.6332,-0.0054,-0.0141,0.7738,-1.6420,-0.5393,101.4238,0.0997,-0.2068,-0.1457,0
1625247,0.6332,-0.0053,-0.0141,0.7738,-1.6377,-0.5561,101.4202,0.0815,-0.2153,-0.1424,0
1625414,0.6332,-0.0052,-0.0142,0.7738,-1.6335,-0.5732,101.4197,0.0944,-0.2262,-0.1473,0
1625581,0.6333,-0.0050,-0.0143,0.7738,-1.6304,-0.5904,101.4163,0.0908,-0.2266,-0.1505,0
1625747,0.6333,-0.0049,-0.0143,0.7738,-1.6267,-0.6076,101.4155,0.1175,-0.2175,-0.1260,0
1625914,0.6333,-0.0047,-0.0144,0.7738,-1.6220,-0.6246,101.4160,0.1180,-0.1899,-0.1469,0
1626081,0.6332,-0.0046,-0.0145,0.7738,-1.6180,-0.6403,101.4177,0.1072,-0.2090,-0.1452,0
1626247,0.6332,-0.0045,-0.0145,0.7738,-1.6134,-0.6574,101.4192,0.1077,-0.2377,-0.1293,0
1626414,0.6332,-0.0043,-0.0146,0.7738,-1.6095,-0.6731,101.4199,0.1158,-0.2576,-0.1620,0
1626581,0.6332,-0.0042,-0.0147,0.7738,-1.6057,-0.6897,101.4195,0.1129,-0.2381,-0.1394,0
1626747,0.6332,-0.0041,-0.0147,0.7738,-1.6025,-0.7057,101.4207,0.1253,-0.2267,-0.1071,0
1626914,0.6332,-0.0040,-0.0148,0.7738,-1.5970,-0.7216,101.4250,0.1317,-0.2194,-0.1493,0
1627081,0.6332,-0.0038,-0.0148,0.7738,-1.5919,-0.7372,101.4264,0.1026,-0.2424,-0.1369,0
1627247,0.6332,-0.0037,-0.0149,0.7738,-1.5866,-0.7533,101.4267,0.1153,-0.2560,-0.1706,0
1627414,0.6332,-0.0035,-0.0149,0.7738,-1.5827,-0.7693,101.4249,0.1146,-0.2445,-0.1435,0
1627581,0.6332,-0.0034,-0.0150,0.7738,-1.5791,-0.7850,101.4250,0.1133,-0.2638,-0.1504,0
1627747,0.6332,-0.0033,-0.0151,0.7738,-1.5754,-0.8011,101.4266,0.1135,-0.2384,-0.1394,0
1627914,0.6332,-0.0032,-0.0151,0.7738,-1.5708,-0.8163,101.4269,0.1111,-0.2597,-0.1389,0
1628081,0.6332,-0.0030,-0.0152,0.7738,-1.5656,-0.8317,101.4235,0.0818,-0.2842,-0.1505,0
1628247,0.6332,-0.0029,-0.0152,0.7738,-1.5612,-0.8465,101.4226,0.1076,-0.2890,-0.1491,0
1628414,0.6332,-0.0028,-0.0153,0.7738,-1.5585,-0.8627,101.4262,0.1296,-0.2983,-0.1610,0
1628581,0.6332,-0.0027,-0.0154,0.7738,-1.5564,-0.8774,101.4250,0.1515,-0.2479,-0.1531,0
1628747,0.6332,-0.0026,-0.0154,0.7738,-1.5543,-0.8911,101.4264,0.1612,-0.2392,-0.1383,0
1628914,0.6332,-0.0025,-0.0155,0.7738,-1.5508,-0.9056,101.4312,0.1414,-0.2570,-0.1359,0
1629081,0.6332,-0.0023,-0.0155,0.7738,-1.5463,-0.9190,101.4280,0.1019,-0.2915,-0.1645,0
1629247,0.6332,-0.0022,-0.0156,0.7738,-1.5442,-0.9338,101.4295,0.1072,-0.2888,-0.1608,0
1629414,0.6332,-0.0021,-0.0157,0.7738,-1.5422,-0.9481,101.4240,0.0986,-0.2975,-0.1517,0
1629581,0.6332,-0.0020,-0.0157,0.7738,-1.5396,-0.9619,101.4241,0.1400,-0.2997,-0.1517,0
1629747,0.6332,-0.0019,-0.0158,0.7738,-1.5387,-0.9779,101.4262,0.1506,-0.2889,-0.1470,0
1629914,0.6332,-0.0018,-0.0158,0.7738,-1.5360,-0.9905,101.4236,0.1586,-0.2529,-0.1531,0
1630081,0.6332,-0.0017,-0.0159,0.7738,-1.5331,-1.0035,101.4222,0.1285,-0.2638,-0.1385,0
1630247,0.6332,-0.0016,-0.0159,0.7738,-1.5289,-1.0178,101.4220,0.1344,-0.2600,-0.1583,0
1630414,0.6332,-0.0015,-0.0160,0.7738,-1.5265,-1.0315,101.4240,0.1342,-0.2733,-0.1434,0
1630581,0.6332,-0.0014,-0.0161,0.7738,-1.5244,-1.0445,101.4255,0.1396,-0.2634,-0.1619,0
1630747,0.6332,-0.0013,-0.0161,0.7738,-1.5231,-1.0556,101.4227,0.1486,-0.2669,-0.1508,0
1630914,0.6332,-0.0012,-0.0162,0.7738,-1.5202,-1.0670,101.4219,0.1596,-0.2906,-0.1520,0
1631081,0.6332,-0.0011,-0.0162,0.7738,-1.5163,-1.0776,101.4234,0.1452,-0.3178,-0.1768,0
1631247,0.6332,-0.0010,-0.0162,0.7738,-1.5145,-1.0885,101.4242,0.1377,-0.3238,-0.1664,0
1631414,0.6332,-0.0009,-0.0163,0.7738,-1.5117,-1.0996,101.4231,0.1313,-0.3248,-0.1307,0
1631581,0.6332,-0.0008,-0.0163,0.7738,-1.5107,-1.1118,101.4227,0.1292,-0.3112,-0.1423,0
1631747,0.6332,-0.0007,-0.0164,0.7738,-1.5093,-1.1247,101.4236,0.1465,-0.2870,-0.1342,0
1631914,0.6332,-0.0006,-0.0165,0.7738,-1.5078,-1.1381,101.4229,0.1589,-0.2817,-0.1235,0
1632081,0.6333,-0.0006,-0.0165,0.7738,-1.5081,-1.1509,101.4211,0.1680,-0.2782,-0.1160,0
1632247,0.6333,-0.0005,-0.0165,0.7738,-1.4992,-1.1595,101.4204,0.1184,-0.3340,-0.1688,0
1632414,0.6333,-0.0004,-0.0166,0.7738,-1.5038,-1.1720,101.4199,0.1535,-0.3143,-0.1383,0
1632581,0.6333,-0.0003,-0.0167,0.7738,-1.5011,-1.1807,101.4210,0.1608,-0.2878,-0.1348,0
