DeviceTag: Xsens DOT6B,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:31:46.900,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
35839823,0.9716,-0.0016,-0.0003,0.2366,-0.1896,0.0148,27.3705,-0.0007,0.0012,0.1219,0
35839990,0.9716,-0.0016,-0.0003,0.2366,-0.1897,0.0159,27.3715,-0.0048,0.0117,0.1189,0
35840156,0.9716,-0.0017,-0.0003,0.2366,-0.1907,0.0163,27.3716,-0.0078,0.0018,0.1305,0
35840323,0.9716,-0.0017,-0.0003,0.2366,-0.1907,0.0168,27.3722,-0.0048,-0.0142,0.1172,0
35840490,0.9716,-0.0016,-0.0003,0.2366,-0.1905,0.0167,27.3720,-0.0069,-0.0033,0.1337,0
35840656,0.9716,-0.0017,-0.0003,0.2366,-0.1910,0.0160,27.3721,-0.0053,-0.0182,0.1126,0
35840823,0.9716,-0.0017,-0.0003,0.2366,-0.1920,0.0164,27.3717,-0.0016,-0.0052,0.1096,0
35840990,0.9716,-0.0017,-0.0003,0.2366,-0.1923,0.0171,27.3722,-0.0060,-0.0042,0.1073,0
35841156,0.9716,-0.0017,-0.0003,0.2366,-0.1921,0.0173,27.3727,0.0010,0.0088,0.1016,0
35841323,0.9716,-0.0017,-0.0003,0.2366,-0.1935,0.0167,27.3720,0.0033,0.0049,0.1174,0
35841490,0.9716,-0.0017,-0.0003,0.2366,-0.1935,0.0158,27.3722,-0.0011,-0.0074,0.1125,0
35841656,0.9716,-0.0017,-0.0003,0.2366,-0.1945,0.0154,27.3733,-0.0112,0.0023,0.1232,0
35841823,0.9716,-0.0017,-0.0003,0.2366,-0.1941,0.0155,27.3741,0.0010,-0.0119,0.1253,0
35841990,0.9716,-0.0017,-0.0003,0.2366,-0.1937,0.0146,27.3738,-0.0047,-0.0128,0.1223,0
35842156,0.9716,-0.0017,-0.0003,0.2366,-0.1939,0.0139,27.3737,-0.0031,-0.0050,0.1136,0
35842323,0.9716,-0.0017,-0.0003,0.2366,-0.1943,0.0143,27.3734,-0.0040,0.0085,0.0995,0
35842490,0.9716,-0.0017,-0.0003,0.2366,-0.1956,0.0137,27.3731,-0.0052,0.0145,0.1095,0
35842656,0.9716,-0.0017,-0.0003,0.2366,-0.1947,0.0143,27.3728,0.0029,-0.0028,0.1132,0
35842823,0.9716,-0.0017,-0.0003,0.2366,-0.1947,0.0155,27.3746,0.0146,-0.0117,0.1251,0
35842990,0.9716,-0.0017,-0.0003,0.2366,-0.1951,0.0166,27.3750,-0.0080,-0.0136,0.1155,0
35843156,0.9716,-0.0017,-0.0003,0.2366,-0.1938,0.0165,27.3763,0.0112,-0.0169,0.0986,0
35843323,0.9716,-0.0017,-0.0003,0.2366,-0.1933,0.0166,27.3751,-0.0012,-0.0000,0.0985,0
35843490,0.9716,-0.0017,-0.0003,0.2366,-0.1919,0.0163,27.3746,0.0059,0.0159,0.1225,0
35843656,0.9716,-0.0016,-0.0003,0.2366,-0.1906,0.0162,27.3747,0.0065,0.0006,0.1078,0
35843823,0.9716,-0.0017,-0.0003,0.2366,-0.1907,0.0163,27.3747,-0.0036,0.0015,0.1110,0
35843990,0.9716,-0.0017,-0.0003,0.2366,-0.1912,0.0170,27.3741,-0.0007,0.0048,0.1124,0
35844156,0.9716,-0.0017,-0.0003,0.2366,-0.1909,0.0167,27.3743,-0.0019,0.0005,0.1072,0
35844323,0.9716,-0.0017,-0.0003,0.2366,-0.1924,0.0170,27.3752,0.0124,-0.0118,0.1113,0
35844490,0.9716,-0.0017,-0.0002,0.2366,-0.1916,0.0180,27.3746,0.0045,-0.0120,0.1161,0
35844656,0.9716,-0.0017,-0.0002,0.2366,-0.1914,0.0173,27.3752,-0.0021,-0.0009,0.1014,0
35844823,0.9716,-0.0017,-0.0002,0.2366,-0.1906,0.0170,27.3748,-0.0095,-0.0016,0.0990,0
35844990,0.9716,-0.0017,-0.0003,0.2366,-0.1907,0.0169,27.3759,-0.0019,-0.0059,0.1287,0
35845156,0.9716,-0.0016,-0.0002,0.2366,-0.1899,0.0169,27.3757,0.0007,-0.0153,0.1150,0
35845323,0.9716,-0.0016,-0.0002,0.2366,-0.1892,0.0175,27.3755,-0.0091,-0.0066,0.1162,0
35845490,0.9716,-0.0016,-0.0002,0.2366,-0.1893,0.0183,27.3756,-0.0086,-0.0080,0.1206,0
35845656,0.9716,-0.0016,-0.0002,0.2366,-0.1897,0.0189,27.3754,0.0014,-0.0050,0.1031,0
35845823,0.9716,-0.0016,-0.0002,0.2366,-0.1900,0.0188,27.3766,0.0064,-0.0080,0.0994,0
35845990,0.9716,-0.0017,-0.0002,0.2367,-0.1909,0.0188,27.3779,-0.0056,0.0055,0.1195,0
35846156,0.9716,-0.0017,-0.0002,0.2367,-0.1909,0.0188,27.3782,0.0149,0.0054,0.1168,0
35846323,0.9716,-0.0017,-0.0002,0.2367,-0.1910,0.0195,27.3790,-0.0062,0.0006,0.1226,0
35846490,0.9716,-0.0017,-0.0002,0.2367,-0.1919,0.0188,27.3802,-0.0069,-0.0068,0.1131,0
35846656,0.9716,-0.0017,-0.0002,0.2367,-0.1927,0.0188,27.3806,-0.0048,-0.0018,0.1173,0
