DeviceTag: Xsens DOT6E,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.112,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1622414,0.0783,0.0015,-0.0049,-0.9969,0.5690,0.1226,-171.0154,0.0506,0.0845,0.0895,0
1622581,0.0782,0.0014,-0.0049,-0.9969,0.5761,0.1191,-171.0253,0.0467,0.0860,0.0906,0
1622747,0.0782,0.0014,-0.0050,-0.9969,0.5811,0.1171,-171.0299,0.0430,0.0845,0.0764,0
1622914,0.0781,0.0014,-0.0050,-0.9969,0.5864,0.1140,-171.0365,0.0403,0.0855,0.0882,0
1623081,0.0781,0.0014,-0.0051,-0.9969,0.5925,0.1115,-171.0411,0.0434,0.0787,0.0787,0
1623247,0.0780,0.0013,-0.0051,-0.9969,0.5988,0.1083,-171.0541,0.0702,0.0810,0.0698,0
1623414,0.0779,0.0013,-0.0052,-0.9969,0.6047,0.1046,-171.0655,0.0633,0.0971,0.0912,0
1623581,0.0778,0.0013,-0.0052,-0.9970,0.6109,0.1003,-171.0741,0.0422,0.1015,0.0920,0
1623747,0.0778,0.0013,-0.0053,-0.9970,0.6176,0.0976,-171.0802,0.0483,0.0964,0.0857,0
1623914,0.0777,0.0012,-0.0054,-0.9970,0.6233,0.0947,-171.0871,0.0189,0.0997,0.0801,0
1624081,0.0777,0.0012,-0.0054,-0.9970,0.6285,0.0911,-171.0903,0.0311,0.1087,0.0789,0
1624247,0.0776,0.0012,-0.0054,-0.9970,0.6328,0.0874,-171.0967,0.0361,0.1069,0.0792,0
1624414,0.0775,0.0012,-0.0055,-0.9970,0.6370,0.0836,-171.1042,0.0455,0.0936,0.0806,0
1624581,0.0775,0.0011,-0.0055,-0.9970,0.6410,0.0800,-171.1118,0.0576,0.1047,0.0897,0
1624747,0.0774,0.0011,-0.0056,-0.9970,0.6465,0.0764,-171.1182,0.0454,0.1156,0.0898,0
1624914,0.0774,0.0011,-0.0056,-0.9970,0.6510,0.0732,-171.1222,0.0487,0.1190,0.0922,0
1625081,0.0773,0.0011,-0.0057,-0.9970,0.6557,0.0705,-171.1280,0.0361,0.1189,0.0765,0
1625247,0.0773,0.0010,-0.0057,-0.9970,0.6602,0.0685,-171.1331,0.0516,0.1082,0.0820,0
1625414,0.0772,0.0010,-0.0057,-0.9970,0.6641,0.0655,-171.1407,0.0620,0.0880,0.0846,0
1625581,0.0772,0.0010,-0.0058,-0.9970,0.6661,0.0628,-171.1451,0.0607,0.0941,0.0712,0
1625747,0.0772,0.0010,-0.0058,-0.9970,0.6701,0.0596,-171.1475,0.0372,0.1053,0.0840,0
1625914,0.0771,0.0010,-0.0058,-0.9970,0.6742,0.0571,-171.1534,0.0397,0.1220,0.0908,0
1626081,0.0771,0.0009,-0.0059,-0.9970,0.6785,0.0539,-171.1572,0.0271,0.1206,0.0930,0
1626247,0.0770,0.0009,-0.0059,-0.9970,0.6814,0.0517,-171.1616,0.0599,0.1032,0.0931,0
1626414,0.0770,0.0009,-0.0059,-0.9970,0.6863,0.0486,-171.1671,0.0661,0.1091,0.0932,0
1626581,0.0770,0.0009,-0.0060,-0.9970,0.6912,0.0461,-171.1721,0.0550,0.1130,0.0982,0
1626747,0.0769,0.0008,-0.0060,-0.9970,0.6963,0.0433,-171.1774,0.0258,0.1245,0.1039,0
1626914,0.0769,0.0008,-0.0061,-0.9970,0.7011,0.0397,-171.1821,0.0290,0.1218,0.0873,0
1627081,0.0768,0.0008,-0.0061,-0.9970,0.7070,0.0370,-171.1861,0.0592,0.1146,0.0905,0
1627247,0.0768,0.0008,-0.0062,-0.9970,0.7106,0.0344,-171.1928,0.0589,0.1021,0.0863,0
1627414,0.0767,0.0008,-0.0062,-0.9970,0.7142,0.0313,-171.2000,0.0464,0.1136,0.0802,0
1627581,0.0767,0.0007,-0.0062,-0.9970,0.7192,0.0289,-171.2063,0.0429,0.1090,0.0805,0
1627747,0.0766,0.0007,-0.0063,-0.9970,0.7233,0.0270,-171.2126,0.0445,0.1239,0.0900,0
1627914,0.0765,0.0007,-0.0063,-0.9970,0.7263,0.0242,-171.2193,0.0546,0.1034,0.0827,0
1628081,0.0765,0.0007,-0.0063,-0.9970,0.7294,0.0207,-171.2259,0.0800,0.0956,0.0805,0
1628247,0.0764,0.0007,-0.0064,-0.9971,0.7344,0.0191,-171.2312,0.0850,0.0982,0.0760,0
1628414,0.0763,0.0006,-0.0064,-0.9971,0.7368,0.0177,-171.2429,0.0640,0.1148,0.0930,0
1628581,0.0763,0.0006,-0.0064,-0.9971,0.7397,0.0157,-171.2521,0.0583,0.1343,0.0896,0
1628747,0.0762,0.0006,-0.0064,-0.9971,0.7419,0.0137,-171.2569,0.0437,0.1425,0.0818,0
1628914,0.0762,0.0006,-0.0065,-0.9971,0.7437,0.0122,-171.2611,0.0335,0.1335,0.0970,0
1629081,0.0761,0.0006,-0.0065,-0.9971,0.7455,0.0108,-171.2653,0.0486,0.1042,0.0814,0
1629247,0.0761,0.0006,-0.0065,-0.9971,0.7482,0.0085,-171.2699,0.0626,0.0985,0.0836,0
1629414,0.0761,0.0006,-0.0065,-0.9971,0.7500,0.0067,-171.2734,0.0684,0.1075,0.0806,0
1629581,0.0760,0.0005,-0.0065,-0.9971,0.7513,0.0056,-171.2780,0.0709,0.1295,0.0921,0
1629747,0.0760,0.0005,-0.0066,-0.9971,0.7536,0.0040,-171.2837,0.0801,0.1386,0.0920,0
1629914,0.0760,0.0005,-0.0066,-0.9971,0.7558,0.0029,-171.2870,0.0474,0.1328,0.0864,0
1630081,0.0759,0.0005,-0.0066,-0.9971,0.7579,0.0007,-171.2909,0.0491,0.1389,0.1046,0
1630247,0.0759,0.0005,-0.0066,-0.9971,0.7589,0.0001,-171.2954,0.0288,0.1220,0.0726,0
1630414,0.0758,0.0005,-0.0066,-0.9971,0.7608,-0.0012,-171.3011,0.0355,0.1216,0.0799,0
1630581,0.0758,0.0005,-0.0066,-0.9971,0.7632,-0.0030,-171.3055,0.0383,0.1244,0.0891,0
1630747,0.0758,0.0005,-0.0067,-0.9971,0.7643,-0.0048,-171.3095,0.0250,0.1352,0.0963,0
1630914,0.0757,0.0005,-0.0067,-0.9971,0.7665,-0.0061,-171.3143,0.0605,0.1335,0.0864,0
1631081,0.0757,0.0004,-0.0067,-0.9971,0.7676,-0.0084,-171.3181,0.0941,0.1208,0.0785,0
1631247,0.0757,0.0004,-0.0067,-0.9971,0.7698,-0.0105,-171.3208,0.0756,0.1020,0.0822,0
1631414,0.0756,0.0004,-0.0067,-0.9971,0.7709,-0.0115,-171.3271,0.0636,0.1039,0.0836,0
1631581,0.0756,0.0004,-0.0067,-0.9971,0.7716,-0.0132,-171.3331,0.0501,0.1151,0.0870,0
1631747,0.0755,0.0004,-0.0067,-0.9971,0.7724,-0.0150,-171.3364,0.0365,0.1344,0.0907,0
1631914,0.0755,0.0004,-0.0067,-0.9971,0.7724,-0.0173,-171.3380,0.0326,0.1390,0.0828,0
1632081,0.0755,0.0003,-0.0068,-0.9971,0.7766,-0.0190,-171.3399,0.0480,0.1541,0.0371,0
1632247,0.0755,0.0003,-0.0068,-0.9971,0.7805,-0.0216,-171.3450,0.0867,0.0965,0.1163,0
1632414,0.0754,0.0003,-0.0068,-0.9971,0.7778,-0.0223,-171.3489,0.0718,0.1261,0.0897,0
1632581,0.0754,0.0003,-0.0068,-0.9971,0.7794,-0.0236,-171.3540,0.0311,0.1463,0.0564,0
1632747,0.0753,0.0003,-0.0068,-0.9971,0.7799,-0.0250,-171.3613,0.0436,0.1191,0.0888,0
1632914,0.0753,0.0003,-0.0068,-0.9971,0.7776,-0.0253,-171.3671,0.0932,0.1118,0.0940,0
1633081,0.0752,0.0003,-0.0068,-0.9971,0.7776,-0.0270,-171.3714,0.0961,0.1108,0.1058,0
1633247,0.0752,0.0003,-0.0068,-0.9971,0.7768,-0.0285,-171.3755,0.0602,0.1404,0.0591,0
1633414,0.0751,0.0002,-0.0068,-0.9972,0.7773,-0.0300,-171.3836,0.0681,0.1175,0.0755,0
1633581,0.0751,0.0002,-0.0068,-0.9972,0.7777,-0.0316,-171.3902,0.0743,0.1108,0.0980,0
1633747,0.0750,0.0002,-0.0068,-0.9972,0.7777,-0.0325,-171.3964,0.0724,0.1320,0.0875,0
1633914,0.0750,0.0002,-0.0068,-0.9972,0.7767,-0.0335,-171.4024,0.0799,0.1468,0.0951,0
1634081,0.0749,0.0002,-0.0068,-0.9972,0.7772,-0.0347,-171.4064,0.0654,0.1294,0.1032,0
1634247,0.0749,0.0002,-0.0068,-0.9972,0.7769,-0.0351,-171.4109,0.0678,0.1189,0.0932,0
1634414,0.0749,0.0002,-0.0068,-0.9972,0.7777,-0.0343,-171.4141,0.0702,0.1240,0.0846,0
1634581,0.0748,0.0002,-0.0068,-0.9972,0.7782,-0.0346,-171.4184,0.0497,0.1293,0.0776,0
1634747,0.0748,0.0002,-0.0068,-0.9972,0.7809,-0.0354,-171.4218,0.0424,0.1410,0.0325,0
1634914,0.0747,0.0002,-0.0068,-0.9972,0.7816,-0.0365,-171.4264,0.0939,0.1142,0.1437,0
1635081,0.0747,0.0002,-0.0068,-0.9972,0.7807,-0.0367,-171.4315,0.0889,0.1232,0.0734,0
1635247,0.0747,0.0002,-0.0068,-0.9972,0.7805,-0.0368,-171.4336,0.0781,0.1203,0.1146,0
1635414,0.0746,0.0002,-0.0068,-0.9972,0.7793,-0.0373,-171.4381,0.0601,0.1552,0.0827,0
1635581,0.0746,0.0002,-0.0068,-0.9972,0.7789,-0.0381,-171.4435,0.0351,0.1303,0.0983,0
1635747,0.0746,0.0002,-0.0068,-0.9972,0.7786,-0.0388,-171.4476,0.0296,0.1154,0.0636,0
1635914,0.0745,0.0002,-0.0068,-0.9972,0.7778,-0.0389,-171.4530,0.0609,0.1184,0.0999,0
1636081,0.0745,0.0002,-0.0068,-0.9972,0.7771,-0.0394,-171.4576,0.0592,0.1415,0.0468,0
1636247,0.0744,0.0002,-0.0068,-0.9972,0.7768,-0.0395,-171.4612,0.0567,0.1257,0.0727,0
1636414,0.0744,0.0002,-0.0068,-0.9972,0.7758,-0.0402,-171.4645,0.0634,0.1283,0.1515,0
1636581,0.0744,0.0002,-0.0068,-0.9972,0.7754,-0.0406,-171.4691,0.0535,0.1353,0.0581,0
1636747,0.0743,0.0002,-0.0068,-0.9972,0.7744,-0.0397,-171.4738,0.0579,0.1262,0.0739,0
1636914,0.0743,0.0002,-0.0068,-0.9972,0.7754,-0.0383,-171.4774,0.0701,0.1186,0.1169,0
1637081,0.0743,0.0002,-0.0068,-0.9972,0.7752,-0.0379,-171.4799,0.0537,0.1303,0.1119,0
1637247,0.0742,0.0002,-0.0068,-0.9972,0.7761,-0.0369,-171.4852,0.0814,0.1356,0.0751,0
1637414,0.0742,0.0002,-0.0068,-0.9972,0.7744,-0.0376,-171.4896,0.0781,0.1245,0.0818,0
1637581,0.0742,0.0002,-0.0068,-0.9972,0.7743,-0.0368,-171.4933,0.0642,0.1110,0.0795,0
1637748,0.0741,0.0002,-0.0067,-0.9972,0.7726,-0.0368,-171.4991,0.0256,0.1262,0.0871,0
1637914,0.0741,0.0002,-0.0067,-0.9972,0.7714,-0.0368,-171.5026,0.0360,0.1295,0.1046,0
1638081,0.0741,0.0002,-0.0067,-0.9972,0.7686,-0.0374,-171.5036,0.0450,0.1431,0.0787,0
1638248,0.0740,0.0002,-0.0067,-0.9972,0.7671,-0.0358,-171.5077,0.0838,0.1314,0.0913,0
1638414,0.0740,0.0002,-0.0067,-0.9972,0.7651,-0.0368,-171.5123,0.0773,0.1256,0.0940,0
1638581,0.0740,0.0002,-0.0067,-0.9972,0.7638,-0.0366,-171.5164,0.0576,0.1187,0.0833,0
1638748,0.0739,0.0002,-0.0067,-0.9972,0.7620,-0.0369,-171.5199,0.0561,0.1240,0.0915,0
1638914,0.0739,0.0002,-0.0066,-0.9972,0.7589,-0.0368,-171.5214,0.0291,0.1315,0.0844,0
1639081,0.0739,0.0002,-0.0066,-0.9972,0.7570,-0.0367,-171.5251,0.0369,0.1319,0.0937,0
1639248,0.0739,0.0002,-0.0066,-0.9972,0.7561,-0.0375,-171.5266,0.0625,0.1172,0.0690,0
1639414,0.0738,0.0002,-0.0066,-0.9972,0.7545,-0.0369,-171.5309,0.0780,0.1230,0.0731,0
1639581,0.0738,0.0002,-0.0066,-0.9972,0.7533,-0.0381,-171.5333,0.0847,0.1331,0.1035,0
1639748,0.0738,0.0001,-0.0066,-0.9973,0.7506,-0.0384,-171.5400,0.0903,0.1218,0.0761,0
1639914,0.0738,0.0001,-0.0065,-0.9973,0.7479,-0.0406,-171.5402,0.0749,0.1308,0.0974,0
1640081,0.0737,0.0001,-0.0065,-0.9973,0.7449,-0.0414,-171.5438,0.0548,0.1222,0.0961,0
1640248,0.0737,0.0001,-0.0065,-0.9973,0.7447,-0.0418,-171.5446,0.0595,0.1302,0.0956,0
1640414,0.0737,0.0001,-0.0065,-0.9973,0.7435,-0.0419,-171.5467,0.0584,0.1283,0.0691,0
1640581,0.0737,0.0001,-0.0065,-0.9973,0.7414,-0.0424,-171.5483,0.0558,0.1278,0.0869,0
1640748,0.0737,0.0001,-0.0065,-0.9973,0.7399,-0.0429,-171.5511,0.0729,0.1250,0.0922,0
1640914,0.0737,0.0001,-0.0065,-0.9973,0.7397,-0.0423,-171.5518,0.0603,0.1263,0.1010,0
1641081,0.0736,0.0001,-0.0064,-0.9973,0.7372,-0.0429,-171.5533,0.0526,0.1166,0.0846,0
1641248,0.0736,0.0001,-0.0064,-0.9973,0.7359,-0.0433,-171.5546,0.0434,0.1185,0.0853,0
1641414,0.0736,0.0001,-0.0064,-0.9973,0.7350,-0.0446,-171.5573,0.0311,0.1252,0.0904,0
1641581,0.0736,0.0001,-0.0064,-0.9973,0.7341,-0.0444,-171.5581,0.0660,0.1259,0.0867,0
1641748,0.0736,0.0001,-0.0064,-0.9973,0.7330,-0.0436,-171.5624,0.0700,0.1143,0.1059,0
1641914,0.0736,0.0001,-0.0064,-0.9973,0.7321,-0.0431,-171.5606,0.0821,0.1245,0.1053,0
1642081,0.0736,0.0001,-0.0064,-0.9973,0.7309,-0.0440,-171.5621,0.0540,0.1310,0.0809,0
1642248,0.0735,0.0001,-0.0064,-0.9973,0.7301,-0.0425,-171.5650,0.0536,0.1080,0.0964,0
1642414,0.0735,0.0001,-0.0064,-0.9973,0.7303,-0.0404,-171.5681,0.0550,0.1130,0.0822,0
1642581,0.0735,0.0001,-0.0064,-0.9973,0.7303,-0.0371,-171.5688,0.0669,0.0967,0.0890,0
1642748,0.0738,0.0002,-0.0063,-0.9973,0.7259,-0.0364,-171.5373,-0.0858,0.0793,0.0922,0
1642914,0.0741,0.0002,-0.0063,-0.9972,0.7200,-0.0342,-171.4972,0.2088,0.1854,0.1087,0
1643081,0.0742,0.0002,-0.0063,-0.9972,0.7188,-0.0333,-171.4854,0.0948,0.1627,0.1021,0
1643248,0.0742,0.0002,-0.0063,-0.9972,0.7193,-0.0310,-171.4868,0.0753,0.1032,0.0599,0
1643414,0.0742,0.0002,-0.0063,-0.9972,0.7179,-0.0296,-171.4909,0.0402,0.0978,0.1044,0
1643581,0.0742,0.0002,-0.0063,-0.9972,0.7169,-0.0278,-171.4921,0.0369,0.0933,0.0698,0
1643748,0.0742,0.0002,-0.0062,-0.9972,0.7143,-0.0261,-171.4920,0.0564,0.1017,0.0771,0
1643914,0.0743,0.0003,-0.0062,-0.9972,0.7141,-0.0238,-171.4829,0.0424,0.0772,0.1014,0
1644081,0.0744,0.0003,-0.0062,-0.9972,0.7124,-0.0234,-171.4718,0.0783,0.1388,0.0976,0
1644248,0.0745,0.0003,-0.0062,-0.9972,0.7103,-0.0210,-171.4588,0.0471,0.1281,0.0731,0
1644414,0.0745,0.0003,-0.0062,-0.9972,0.7077,-0.0197,-171.4522,0.0734,0.1616,0.0995,0
1644581,0.0745,0.0003,-0.0062,-0.9972,0.7067,-0.0177,-171.4536,0.0808,0.1309,0.0843,0
1644748,0.0745,0.0003,-0.0062,-0.9972,0.7056,-0.0162,-171.4564,0.0533,0.1032,0.0792,0
1644914,0.0745,0.0003,-0.0061,-0.9972,0.7041,-0.0154,-171.4559,0.0588,0.1174,0.1144,0
1645081,0.0745,0.0003,-0.0061,-0.9972,0.7033,-0.0128,-171.4572,0.0478,0.0947,0.0709,0
1645248,0.0745,0.0004,-0.0061,-0.9972,0.7007,-0.0106,-171.4592,0.0348,0.1210,0.1179,0
1645414,0.0744,0.0004,-0.0061,-0.9972,0.6995,-0.0075,-171.4614,0.0525,0.1203,0.0815,0
1645581,0.0744,0.0004,-0.0061,-0.9972,0.6984,-0.0054,-171.4611,0.0599,0.1278,0.0705,0
1645748,0.0744,0.0004,-0.0061,-0.9972,0.6976,-0.0068,-171.4618,0.0737,0.1279,0.0912,0
1645914,0.0744,0.0004,-0.0060,-0.9972,0.6942,-0.0073,-171.4615,0.0734,0.1148,0.0742,0
1646081,0.0744,0.0004,-0.0060,-0.9972,0.6900,-0.0089,-171.4615,0.0520,0.1158,0.0850,0
1646248,0.0744,0.0004,-0.0060,-0.9972,0.6862,-0.0079,-171.4613,0.0460,0.1077,0.0903,0
1646414,0.0745,0.0004,-0.0060,-0.9972,0.6840,-0.0069,-171.4586,0.0612,0.1075,0.0946,0
1646581,0.0745,0.0004,-0.0059,-0.9972,0.6812,-0.0063,-171.4570,0.0666,0.1192,0.0840,0
1646748,0.0745,0.0004,-0.0059,-0.9972,0.6792,-0.0059,-171.4594,0.0688,0.1075,0.0874,0
1646914,0.0745,0.0004,-0.0059,-0.9972,0.6777,-0.0043,-171.4581,0.0498,0.1109,0.0719,0
1647081,0.0745,0.0004,-0.0059,-0.9972,0.6754,-0.0031,-171.4554,0.0423,0.1079,0.0886,0
1647248,0.0745,0.0004,-0.0059,-0.9972,0.6737,-0.0012,-171.4555,0.0497,0.1080,0.0885,0
1647414,0.0745,0.0004,-0.0058,-0.9972,0.6721,0.0003,-171.4589,0.0330,0.1063,0.0949,0
1647581,0.0745,0.0005,-0.0058,-0.9972,0.6719,0.0020,-171.4594,0.0664,0.1063,0.0930,0
1647748,0.0745,0.0005,-0.0058,-0.9972,0.6693,0.0028,-171.4606,0.0538,0.1160,0.0898,0
1647914,0.0744,0.0005,-0.0058,-0.9972,0.6670,0.0049,-171.4626,0.0647,0.1030,0.0773,0
1648081,0.0744,0.0005,-0.0058,-0.9972,0.6658,0.0061,-171.4626,0.0438,0.1126,0.1073,0
1648248,0.0744,0.0005,-0.0058,-0.9972,0.6640,0.0076,-171.4611,0.0436,0.1002,0.0806,0
1648414,0.0744,0.0005,-0.0058,-0.9972,0.6634,0.0097,-171.4649,0.0538,0.0996,0.1042,0
