Device,EulerX,EulerY,EulerZ,FreeAccX,FreeAccY,FreeAccZ,Timestamp
D4:22:CD:00:05:6E,4.738703727722168,34.6871452331543,-118.54047393798828,-2.391836166381836,6.726773262023926,13.022890090942383,392.2567312717438
D4:22:CD:00:05:5D,-145.4765167236328,-85.75167083740234,-151.83148193359375,-1.0043585300445557,2.6469340324401855,4.285423278808594,392.2567312717438
D4:22:CD:00:05:6B,59.45183181762695,-72.27545166015625,43.09177780151367,11.448282241821289,-1.8846020698547363,11.194726943969727,392.2567312717438
D4:22:CD:00:49:AA,93.24290466308594,-85.40531158447266,125.56636047363281,-3.283689498901367,-3.821457862854004,2.6847572326660156,392.2567312717438
D4:22:CD:00:05:5E,-166.7973175048828,-53.94408416748047,-72.74969482421875,3.465531826019287,2.5017919540405273,-1.5416898727416992,392.2567312717438
D4:22:CD:00:05:6E,3.2505624294281006,34.63453674316406,-125.80406951904297,-3.2241739972960204e-05,2.761448860168457,5.577423095703125,392.2597312927246
D4:22:CD:00:05:5D,-76.15708923339844,-87.69200134277344,137.83453369140625,-1.4982142448425293,2.6667122840881348,3.8729476928710938,392.2597312927246
D4:22:CD:00:05:6B,55.064674377441406,-72.13406372070312,46.998558044433594,8.593135833740234,-2.8211045265197754,5.411368370056152,392.2597312927246
D4:22:CD:00:49:AA,84.79853820800781,-85.84730529785156,135.35353088378906,0.1176605075597763,-1.8829045295715332,-2.0499119758605957,392.2597312927246
D4:22:CD:00:05:5E,-168.9838409423828,-57.08125305175781,-70.69050598144531,-1.401240348815918,-0.5556857585906982,-0.6635217666625977,392.2597312927246
D4:22:CD:00:05:5D,-20.695566177368164,-83.87413787841797,81.69796752929688,1.8001341819763184,3.979527473449707,-4.0317230224609375,392.2627954483032
D4:22:CD:00:05:6B,46.177215576171875,-73.0145263671875,57.78412628173828,5.913552284240723,-2.7487940788269043,1.9722700119018555,392.2627954483032
D4:22:CD:00:49:AA,101.67897033691406,-86.2479248046875,119.73877716064453,0.49158793687820435,-0.44046086072921753,-5.28240966796875,392.2627954483032
D4:22:CD:00:05:5E,-170.0354766845703,-59.75046920776367,-68.83384704589844,-2.6813254356384277,-1.5468192100524902,0.6612482070922852,392.2627954483032
D4:22:CD:00:05:5D,-16.720905303955078,-82.38568115234375,77.36067962646484,11.70671272277832,13.182401657104492,-5.740431785583496,392.2657961845398
D4:22:CD:00:05:6B,39.91094207763672,-73.3162841796875,69.46709442138672,0.6608126163482666,-2.25374698638916,-2.297314167022705,392.2657961845398
D4:22:CD:00:49:AA,118.38041687011719,-85.71390533447266,103.41765594482422,1.728163242340088,-0.43953484296798706,-7.707642555236816,392.2657961845398
